35515 27 66
38524 80 13
10148 33 81
50039 36 71
08909 53 8
10149 41 81
56563 40 28
17719 56 1
01383 146 76
31764 95 42
26719 32 40
33282 103 23
21878 37 11
63227 36 7
32161 64 43
07073 32 0
42972 90 68
20983 88 37
70348 96 3
21951 29 21
48117 64 95
07071 20 0
68048 92 11
70132 132 50
64215 62 16
14882 108 10
26975 77 41
15038 52 84
57287 40 98
22960 41 63
66637 69 99
01388 123 76
10902 103 82
18333 100 61
06477 23 19
64089 38 50
69430 68 67
21950 29 21
57645 85 29
13216 71 20
32326 108 44
11780 90 55
22963 72 63
13160 49 83
11330 83 6
32338 102 44
06482 58 19
35521 60 66
32257 47 65
57934 90 14
42830 70 67
13642 39 9
65162 53 32
06833 69 33
65241 61 34
63666 70 31
37892 88 90
38530 53 13
10892 195 82
39001 78 26
13700 64 57
62966 25 30
17090 51 36
13704 71 57
41026 78 92
17007 50 60
62984 61 30
51229 23 72
28204 92 86
34746 81 45
50042 64 71
64219 27 16
08937 89 35
62259 84 74
35456 118 89
57632 20 29
03008 88 52
43180 79 69
24956 45 5
56849 65 48
63792 51 75
34732 72 45
66355 63 94
30843 90 87
08435 67 80
12316 43 2
09850 31 4
36937 45 25
48105 83 95
26739 98 40
15033 52 84
37886 45 90
68070 129 41
17019 47 60
53279 80 97
08935 58 35
08916 88 8
63207 23 49
05744 68 3
62251 38 74
56839 39 48
24943 61 5
17714 64 1
69206 89 18
57947 46 14
28109 59 22
01991 49 18
19264 65 62
58364 44 99
33283 80 23
34839 86 24
53276 98 97
36932 75 25
40120 34 27
13199 56 20
11768 67 55
05630 87 32
70249 114 27
51069 64 46
23774 56 85
22125 149 38
62168 70 15
22130 85 38
70015 92 10
35453 88 89
32953 33 88
32163 37 43
51061 77 46
25329 49 39
64280 63 17
12313 81 2
56566 103 28
64288 54 17
05233 119 77
07394 98 34
28116 44 22
45443 77 94
51235 91 72
63202 72 49
17076 63 36
09953 88 54
63804 80 75
62171 73 15
43174 87 69
06835 79 33
23769 101 85
32251 64 65
25326 64 39
45269 65 93
06334 19 53
30838 84 87
68114 84 26
57277 38 98
06365 75 78
63231 93 7
13323 57 56
41033 113 92
40845 71 91
58498 75 73
05241 80 77
13638 33 9
69282 86 56
40838 62 91
55372 94 47
14629 76 58
24648 39 64
06331 63 53
63667 26 31
45265 85 93
03001 91 52
68019 55 4
49188 80 96
49597 34 70
32951 64 88
19261 88 62
42963 60 68
70359 100 78
34830 29 24
09967 45 54
28210 27 86
31762 188 42
13164 68 83
27215 30 12
14630 75 58
24638 30 64
08427 56 80
00633 25 51
68171 82 73
14671 90 59
14674 36 59
49186 60 96
11310 89 6
20979 81 37
65890 59 12
07962 50 79
68162 119 47
70242 96 79
49602 32 70
18332 70 61
00629 149 51
