Normal_Videos_317_x264 93 6
Shoplifting055_x264 678 9
Fighting040_x264 234 5
Burglary016_x264 526 4
Abuse042_x264 2848 0
Vandalism016_x264 582 11
Burglary035_x264 406 4
Fighting049_x264 156 5
Arson022_x264 865 2
Arrest024_x264 364 1
Vandalism024_x264 101 11
Robbery026_x264 1312 7
Abuse027_x264 438 0
Shoplifting017_x264 47 9
Shoplifting045_x264 165 9
Arson051_x264 106 2
Arson048_x264 42 2
Robbery049_x264 199 7
Shooting038_x264 130 8
Abuse013_x264 488 0
Arson018_x264 85 2
Assault046_x264 96 3
Shoplifting029_x264 218 9
Shooting015_x264 172 8
Vandalism028_x264 450 11
Assault049_x264 133 3
Normal_Videos_453_x264 533 6
Assault017_x264 246 3
Burglary015_x264 113 4
Shooting021_x264 129 8
Fighting037_x264 437 5
Fighting046_x264 300 5
Arson042_x264 588 2
Arrest038_x264 220 1
Robbery015_x264 274 7
Robbery043_x264 104 7
Burglary044_x264 688 4
Shoplifting026_x264 142 9
Fighting043_x264 315 5
Normal_Videos_417_x264 108 6
Abuse026_x264 199 0
Stealing032_x264 540 10
Robbery028_x264 235 7
Shooting026_x264 141 8
Arrest015_x264 98 1
Arson052_x264 477 2
Burglary046_x264 230 4
Stealing018_x264 206 10
Assault032_x264 58 3
Normal_Videos_828_x264 94 6
Arson040_x264 284 2
Assault030_x264 177 3
Fighting030_x264 225 5
Stealing037_x264 475 10
Vandalism023_x264 631 11
Normal_Videos_606_x264 124 6
Burglary034_x264 128 4
Normal_Videos_452_x264 45 6
Stealing021_x264 413 10
Burglary020_x264 332 4
Abuse046_x264 117 0
Burglary025_x264 622 4
Burglary049_x264 922 4
Fighting025_x264 479 5
Abuse023_x264 100 0
Assault038_x264 14 3
Arrest047_x264 6306 1
Normal_Videos_745_x264 31 6
Arrest051_x264 1080 1
Arson020_x264 243 2
Assault022_x264 253 3
Stealing035_x264 1116 10
Vandalism021_x264 137 11
Arrest041_x264 385 1
Stealing025_x264 2182 10
Arson019_x264 12656 2
Stealing059_x264 224 10
Fighting051_x264 661 5
Assault019_x264 254 3
Shooting013_x264 108 8
Arson023_x264 137 2
Shoplifting039_x264 281 9
Arrest025_x264 107 1
Stealing057_x264 302 10
Burglary028_x264 96 4
Stealing022_x264 247 10
Shoplifting037_x264 139 9
Assault037_x264 321 3
Vandalism029_x264 46 11
Fighting045_x264 592 5
Assault035_x264 91 3
Fighting034_x264 627 5
Assault040_x264 379 3
Normal_Videos_914_x264 88 6
Arrest030_x264 865 1
Shooting023_x264 42 8
Fighting018_x264 140 5
Arrest029_x264 777 1
Vandalism027_x264 71 11
Robbery016_x264 166 7
Burglary036_x264 101 4
Vandalism015_x264 299 11
Normal_Videos_885_x264 48 6
Shoplifting038_x264 291 9
Assault025_x264 117 3
Normal_Videos_781_x264 398 6
Stealing027_x264 191 10
Robbery023_x264 112 7
Fighting027_x264 386 5
Normal_Videos_881_x264 23 6
Arson030_x264 506 2
Arson028_x264 241 2
Abuse030_x264 155 0
Shoplifting041_x264 1234 9
Arson050_x264 159 2
Abuse034_x264 157 0
Fighting035_x264 97 5
Arson037_x264 81 2
Burglary023_x264 995 4
Arrest034_x264 1162 1
Burglary032_x264 1580 4
Burglary019_x264 290 4
Shooting047_x264 829 8
Shooting022_x264 456 8
Burglary029_x264 503 4
Arson021_x264 145 2
Fighting038_x264 81 5
Abuse043_x264 388 0
Shoplifting028_x264 136 9
Assault036_x264 92 3
Normal_Videos_634_x264 1347 6
Arson034_x264 239 2
Shooting025_x264 246 8
Burglary014_x264 258 4
Robbery032_x264 540 7
Robbery040_x264 105 7
Assault041_x264 503 3
Arrest013_x264 112 1
Stealing058_x264 500 10
Robbery018_x264 288 7
Stealing050_x264 335 10
Shooting040_x264 87 8
Robbery047_x264 153 7
Abuse035_x264 266 0
Shoplifting022_x264 220 9
Normal_Videos_621_x264 481 6
Assault034_x264 233 3
Arrest048_x264 408 1
Assault020_x264 48 3
Robbery025_x264 147 7
Vandalism049_x264 801 11
Abuse047_x264 157 0
Shooting036_x264 384 8
Arrest020_x264 295 1
Shoplifting043_x264 952 9
Stealing016_x264 246 10
Vandalism046_x264 211 11
Arrest032_x264 169 1
Shooting051_x264 141 8
Abuse015_x264 788 0
Stealing053_x264 1306 10
Arrest036_x264 383 1
Vandalism048_x264 719 11
Normal_Videos_360_x264 99 6
Shoplifting032_x264 143 9
Stealing044_x264 322 10
Fighting044_x264 629 5
Stealing017_x264 189 10
Abuse041_x264 139 0
Abuse029_x264 31 0
Arrest016_x264 1059 1
Fighting021_x264 357 5
Shooting019_x264 278 8
Vandalism018_x264 556 11
Abuse018_x264 244 0
Shooting014_x264 642 8
Abuse014_x264 259 0
Shoplifting019_x264 66 9
Normal_Videos_696_x264 363 6
Vandalism030_x264 145 11
Robbery020_x264 441 7
Normal_Videos_439_x264 423 6
Robbery029_x264 219 7
Vandalism014_x264 44 11
Robbery022_x264 352 7
Vandalism040_x264 104 11
Robbery044_x264 47 7
Shoplifting025_x264 183 9
Shooting027_x264 71 8
Vandalism022_x264 394 11
Shoplifting030_x264 2420 9
Shooting024_x264 201 8
