8,s08-d02-cam-002,120,303,56,take out from fridge
8,s08-d02-cam-002,358,438,56,take out from fridge
8,s08-d02-cam-002,441,559,21,open/close fridge
8,s08-d02-cam-002,561,629,16,move from X to Y
8,s08-d02-cam-002,644,860,55,take out from drawer
8,s08-d02-cam-002,870,1005,55,take out from drawer
8,s08-d02-cam-002,1074,1164,3,cut apart
8,s08-d02-cam-002,1173,1397,50,take \& put in fridge
8,s08-d02-cam-002,1433,2347,24,peel
8,s08-d02-cam-002,2365,2441,6,cut off ends
8,s08-d02-cam-002,2458,2522,63,wash objects
8,s08-d02-cam-002,2522,2643,40,shake
8,s08-d02-cam-002,2655,2835,55,take out from drawer
8,s08-d02-cam-002,2946,3207,3,cut apart
8,s08-d02-cam-002,3211,4001,4,cut dice
8,s08-d02-cam-002,4001,4065,37,scratch off
8,s08-d02-cam-002,4065,4126,5,cut in
8,s08-d02-cam-002,4134,4489,4,cut dice
8,s08-d02-cam-002,4489,4566,53,take ingredient apart
8,s08-d02-cam-002,4687,4803,63,wash objects
8,s08-d02-cam-002,4820,4851,40,shake
8,s08-d02-cam-002,4881,4926,3,cut apart
8,s08-d02-cam-002,4965,5074,8,cut slices
8,s08-d02-cam-002,5077,5185,4,cut dice
8,s08-d02-cam-002,5200,5252,29,put in bowl
8,s08-d02-cam-002,5260,5305,29,put in bowl
8,s08-d02-cam-002,5318,5469,7,cut out inside
8,s08-d02-cam-002,5477,5650,8,cut slices
8,s08-d02-cam-002,5733,5864,4,cut dice
8,s08-d02-cam-002,5884,5940,29,put in bowl
8,s08-d02-cam-002,6041,6092,29,put in bowl
8,s08-d02-cam-002,6141,6292,63,wash objects
8,s08-d02-cam-002,6292,6324,40,shake
8,s08-d02-cam-002,6348,6414,3,cut apart
8,s08-d02-cam-002,6450,6630,8,cut slices
8,s08-d02-cam-002,6637,6788,4,cut dice
8,s08-d02-cam-002,6792,6845,29,put in bowl
8,s08-d02-cam-002,6872,6960,7,cut out inside
8,s08-d02-cam-002,6970,7105,8,cut slices
8,s08-d02-cam-002,7116,7205,4,cut dice
